"age,weight,exercise_time"
"0,44,118,192"
"1,41,161,35"
"2,46,128,220"
"3,39,216,57"
"4,28,116,182"
"5,58,103,165"
"6,55,161,107"
"7,21,188,37"
"8,55,216,79"
"9,50,127,267"
"10,21,160,228"
"11,43,102,78"
"12,73,209,44"
"13,27,165,48"
"14,21,169,171"
"15,36,131,194"
"16,49,171,191"
"17,69,172,147"
"18,18,122,271"
"19,55,157,111"
"20,19,218,28"
"21,34,143,24"
"22,20,116,267"
"23,20,159,241"
"24,32,117,181"
"25,71,103,21"
"26,21,164,229"
"27,79,189,38"
"28,72,149,110"
"29,26,117,279"
"30,29,157,91"
"31,40,168,115"
"32,78,208,67"
"33,70,169,172"
"34,32,163,175"
"35,61,133,147"
"36,58,145,164"
"37,41,158,63"
"38,69,138,159"
"39,40,200,78"
"40,35,112,270"
"41,80,186,87"
"42,72,211,100"
"43,63,158,151"
"44,74,152,83"
"45,52,140,187"
"46,71,136,75"
"47,27,192,6"
"48,23,120,264"
"49,49,149,171"
"50,61,193,71"
"51,49,140,280"
"52,50,109,194"
"53,60,134,162"
"54,70,244,18"
"55,34,101,182"
"56,60,170,182"
